Region,Country,Item Type
Australia and Oceania,Tuvalu,Baby Food
Central America and the Caribbean,Grenada,Cereal
Europe,Russia,Office Supplies
Sub-Saharan Africa,Sao Tome and Principe,Fruits
Sub-Saharan Africa,Rwanda,Office Supplies
Australia and Oceania,Solomon Islands,Baby Food
Sub-Saharan Africa,Angola,Household
Sub-Saharan Africa,Burkina Faso,Vegetables
Sub-Saharan Africa,Republic of the Congo,Personal Care
Sub-Saharan Africa,Senegal,Cereal
Asia,Kyrgyzstan,Vegetables
Sub-Saharan Africa,Cape Verde,Clothes
Asia,Bangladesh,Clothes
Central America and the Caribbean,Honduras,Household
Asia,Mongolia,Personal Care
Europe,Bulgaria,Clothes
Asia,Sri Lanka,Cosmetics
Sub-Saharan Africa,Cameroon,Beverages
Asia,Turkmenistan,Household
Australia and Oceania,East Timor,Meat
Europe,Norway,Baby Food
Europe,Portugal,Baby Food
Central America and the Caribbean,Honduras,Snacks
Australia and Oceania,New Zealand,Fruits
Europe,Moldova ,Personal Care
Europe,France,Cosmetics
Australia and Oceania,Kiribati,Fruits
Sub-Saharan Africa,Mali,Fruits
Europe,Norway,Beverages
Sub-Saharan Africa,The Gambia,Household
Europe,Switzerland,Cosmetics
Sub-Saharan Africa,South Sudan,Personal Care
Australia and Oceania,Australia,Office Supplies
Asia,Myanmar,Household
Sub-Saharan Africa,Djibouti,Snacks
Central America and the Caribbean,Costa Rica,Personal Care
Middle East and North Africa,Syria,Fruits
Sub-Saharan Africa,The Gambia,Meat
Asia,Brunei,Office Supplies
Europe,Bulgaria,Office Supplies
Sub-Saharan Africa,Niger,Personal Care
Middle East and North Africa,Azerbaijan,Cosmetics
Sub-Saharan Africa,The Gambia,Cereal
Europe,Slovakia,Vegetables
Asia,Myanmar,Clothes
Sub-Saharan Africa,Comoros,Cereal
Europe,Iceland,Cosmetics
Europe,Switzerland,Personal Care
Europe,Macedonia,Clothes
Sub-Saharan Africa,Mauritania,Office Supplies
Europe,Albania,Clothes
Sub-Saharan Africa,Lesotho,Fruits
Middle East and North Africa,Saudi Arabia,Cereal
Sub-Saharan Africa,Sierra Leone,Office Supplies
Sub-Saharan Africa,Sao Tome and Principe,Fruits
Sub-Saharan Africa,Cote d'Ivoire,Clothes
Australia and Oceania,Fiji,Clothes
Europe,Austria,Cosmetics
Europe,United Kingdom,Household
Sub-Saharan Africa,Djibouti,Cosmetics
Australia and Oceania,Australia,Cereal
Europe,San Marino,Baby Food
Sub-Saharan Africa,Cameroon,Office Supplies
Middle East and North Africa,Libya,Clothes
Central America and the Caribbean,Haiti,Cosmetics
Sub-Saharan Africa,Rwanda,Cosmetics
Sub-Saharan Africa,Gabon,Personal Care
Central America and the Caribbean,Belize,Clothes
Europe,Lithuania,Office Supplies
Sub-Saharan Africa,Madagascar,Clothes
Asia,Turkmenistan,Office Supplies
Middle East and North Africa,Libya,Fruits
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages
Sub-Saharan Africa,Djibouti,Cereal
Middle East and North Africa,Pakistan,Cosmetics
North America,Mexico,Household
Australia and Oceania,Federated States of Micronesia,Beverages
Asia,Laos,Vegetables
Europe,Monaco,Baby Food
Australia and Oceania,Samoa ,Cosmetics
Europe,Spain,Household
Middle East and North Africa,Lebanon,Clothes
Middle East and North Africa,Iran,Cosmetics
Sub-Saharan Africa,Zambia,Snacks
Sub-Saharan Africa,Kenya,Vegetables
North America,Mexico,Personal Care
Sub-Saharan Africa,Sao Tome and Principe,Beverages
Sub-Saharan Africa,The Gambia,Baby Food
Middle East and North Africa,Kuwait,Fruits
Europe,Slovenia,Beverages
Sub-Saharan Africa,Sierra Leone,Office Supplies
Australia and Oceania,Australia,Beverages
Middle East and North Africa,Azerbaijan,Office Supplies
Europe,Romania,Cosmetics
Central America and the Caribbean,Nicaragua,Beverages
Sub-Saharan Africa,Mali,Clothes
Asia,Malaysia,Fruits
Sub-Saharan Africa,Sierra Leone,Vegetables
North America,Mexico,Personal Care
Sub-Saharan Africa,Mozambique,Household
